UserId,Name,Email,Password,Avatar,UserRole
25cbe9a1-759b-4a29-b5e0-4f4a87c279c9,Emma,emma1419@example.com,samplePassword,sampleAvatarURL,customer
df360adb-cd60-4ca7-8664-b4017b2a6605,William,william1652@example.com,samplePassword,sampleAvatarURL,admin
0c9b1899-d559-4321-9d87-8dcab1e3ad30,David,david8309@example.com,samplePassword,sampleAvatarURL,customer
1ba0bad5-1ec6-431f-9030-a73664f2105b,Matthew,matthew6476@example.com,samplePassword,sampleAvatarURL,customer
cc648a3f-f806-41f6-bb34-90f1ca06b3a8,Olivia,olivia4065@example.com,samplePassword,sampleAvatarURL,admin
4d97ac49-d50b-4786-934c-c6355aae27d5,Emily,emily9924@example.com,samplePassword,sampleAvatarURL,customer
bd604486-e844-4c68-8de1-ed71891b3ad9,Ava,ava9511@example.com,samplePassword,sampleAvatarURL,customer
2a2b6eca-7602-4187-81b6-3d9905a5f897,John,john3909@example.com,samplePassword,sampleAvatarURL,customer
db7e8f79-5802-4e36-8ca8-a52863eef8f7,John,john8053@example.com,samplePassword,sampleAvatarURL,customer
3dbad280-a7db-4f81-be40-bcb2a309bd67,Emily,emily9518@example.com,samplePassword,sampleAvatarURL,admin
5b1b577d-0ae8-4e4d-9041-b258ec29c645,Michael,michael6636@example.com,samplePassword,sampleAvatarURL,admin
da79db26-105c-476d-8dab-a954edf86967,Emily,emily7627@example.com,samplePassword,sampleAvatarURL,admin
49fb12f9-c506-4bbc-8d18-b51dc5a29650,Sophia,sophia5416@example.com,samplePassword,sampleAvatarURL,customer
03e5da24-f6dc-414c-a24f-cbc1d8baafb2,Emma,emma7872@example.com,samplePassword,sampleAvatarURL,admin
f5621137-05cb-439b-af36-afd85ecc8d67,Emma,emma7610@example.com,samplePassword,sampleAvatarURL,admin
be620e36-a96c-4925-8342-bd610a9df1b8,William,william4967@example.com,samplePassword,sampleAvatarURL,admin
8427314c-5616-435c-ba3c-a5e17a6daf75,Emily,emily7019@example.com,samplePassword,sampleAvatarURL,customer
65ef701f-f61a-42a5-b36e-dc4c9f35d3c0,Emily,emily9025@example.com,samplePassword,sampleAvatarURL,customer
80b3b3bb-9a86-41a3-9a19-11342f3473f5,Emily,emily5379@example.com,samplePassword,sampleAvatarURL,customer
36dedc6a-8979-4265-bd4d-93bff55f6735,Ava,ava5758@example.com,samplePassword,sampleAvatarURL,customer
bd49d9da-b25a-4f91-a1c7-db5ba510818b,John,john8975@example.com,samplePassword,sampleAvatarURL,customer
e877dfc7-6c4d-4164-b9c3-3a86bb84ffe3,William,william1517@example.com,samplePassword,sampleAvatarURL,admin
a76d711c-ae90-443f-a1bb-5c705e6f9287,Emily,emily9912@example.com,samplePassword,sampleAvatarURL,customer
2ea3def3-d520-434e-b46c-d7b9b4ae6829,Matthew,matthew8208@example.com,samplePassword,sampleAvatarURL,admin
c254665d-7af2-4ce2-bfb9-6bc94c853603,John,john5894@example.com,samplePassword,sampleAvatarURL,admin
a4665847-2a14-4bdb-83d9-aa93cc7a562d,Emily,emily2142@example.com,samplePassword,sampleAvatarURL,admin
0f72c483-6fad-446b-ae13-616601699e8b,William,william7271@example.com,samplePassword,sampleAvatarURL,customer
bb3aae6f-53db-444a-88f6-cfb5caac978c,John,john8263@example.com,samplePassword,sampleAvatarURL,admin
0f18904c-e012-4c4e-a599-a4bc953071af,John,john9223@example.com,samplePassword,sampleAvatarURL,customer
a727783b-ea6c-4782-b286-6be903399083,John,john2952@example.com,samplePassword,sampleAvatarURL,admin
7bbf511e-b4ec-474c-8239-a3a9b670a827,William,william3713@example.com,samplePassword,sampleAvatarURL,admin
cdb503b3-b866-4475-80b9-328200c54694,Emma,emma3650@example.com,samplePassword,sampleAvatarURL,customer
34d22a43-dbde-482a-8d98-b26aa79b6bc4,Michael,michael3893@example.com,samplePassword,sampleAvatarURL,admin
070033db-960c-4bdb-8436-5f5161d14d72,Emily,emily5267@example.com,samplePassword,sampleAvatarURL,admin
